Row_no,Sample_ID,Petro_no,Analysis_no,Spot_no,Distance_no,Distance_um,Tag,Age,Sr8786,Sr8786_norm,SE1,SE2,SrV,Spot_size_um,Rep_rate_hz,Dwell_time_sec,Power_percent,Analysis_date,Analysis_time
1,,Seabass_std,,Ocean1,,,,,0.70906621,,8.23E-05,0.000164532,3.526544897,40,10,25,77,9/6/2022,10:52 PM
2,,Seabass_std,,Ocean2,,0.709058369,,,0.709017555,,9.55E-05,0.000191097,3.823256704,40,10,25,77,9/6/2022,10:52 PM
3,,Seabass_std,,Ocean3,,3.75E-05,,,0.709091343,,6.64E-05,0.000132777,3.831020529,40,10,25,77,9/6/2022,10:52 PM
4,WEM20220507,WEM1,1,1,1,0,age1,0,0.708814063,0.708922967,9.97E-05,0.000199317,1.189467804,40,10,25,77,9/6/2022,10:56 PM
5,WEM20220507,WEM1,1,2,2,9.062,age1,0,0.708679738,0.708788622,0.000170359,0.000340718,1.327783686,40,10,25,77,9/6/2022,10:56 PM
6,WEM20220507,WEM1,1,3,3,36.7,age1,0,0.7085124,0.708621257,0.000147524,0.000295049,1.203993688,40,10,25,77,9/6/2022,10:56 PM
7,WEM20220507,WEM1,1,4,4,70.228,age1,0,0.708467835,0.708576685,9.33E-05,0.000186684,1.353836685,40,10,25,77,9/6/2022,10:56 PM
8,WEM20220507,WEM1,1,5,5,107.833,age1,0,0.708532707,0.708641568,0.000131054,0.000262108,1.420641387,40,10,25,77,9/6/2022,10:56 PM
9,WEM20220507,WEM1,1,6,6,149.97,age1,0,0.708844125,0.708953034,9.14E-05,0.000182746,1.572262021,40,10,25,77,9/6/2022,10:56 PM
10,WEM20220507,WEM1,1,7,7,188.482,age1,0,0.708777771,0.708886669,0.0001053,0.000210599,1.586212538,40,10,25,77,9/6/2022,10:56 PM
11,WEM20220507,WEM1,1,8,8,231.525,age1,0,0.708479744,0.708588597,8.68E-05,0.000173534,1.725726076,40,10,25,77,9/6/2022,10:56 PM
12,WEM20220507,WEM1,1,9,9,274.567,age1,0,0.708670369,0.708779251,0.000171292,0.000342583,1.540073684,40,10,25,77,9/6/2022,10:56 PM
13,WEM20220507,WEM1,1,10,10,313.532,age1,0,0.70872806,0.708836951,9.25E-05,0.000185076,1.755698279,40,10,25,77,9/6/2022,10:56 PM
14,WEM20220507,WEM1,1,11,11,356.575,age1,0,0.708685091,0.708793975,7.33E-05,0.000146511,2.728933102,40,10,25,77,9/6/2022,10:56 PM
15,WEM20220507,WEM1,1,12,12,392.822,age1,0,0.708616918,0.708725792,7.45E-05,0.000148942,2.788478663,40,10,25,77,9/6/2022,10:56 PM
16,WEM20220507,WEM1,1,13,13,429.521,age1,0,0.708741569,0.708850461,9.83E-05,0.000196522,2.249446993,40,10,25,77,9/6/2022,10:56 PM
17,WEM20220507,WEM1,1,14,14,469.393,age1,0,0.708703483,0.70881237,6.63E-05,0.000132674,2.181600785,40,10,25,77,9/6/2022,10:56 PM
18,WEM20220507,WEM1,1,15,15,507.904,age1,0,0.708739449,0.708848342,8.46E-05,0.000169292,1.943859629,40,10,25,77,9/6/2022,10:56 PM
19,WEM20220507,WEM1,1,16,16,553.213,age1,1,0.708509356,0.708618212,0.00017328,0.00034656,1.479345811,40,10,25,77,9/6/2022,10:56 PM
20,WEM20220507,WEM1,1,17,17,594.896,age2,1,0.708760596,0.708869491,7.69E-05,0.000153836,1.701835363,40,10,25,77,9/6/2022,10:56 PM
21,WEM20220507,WEM1,1,18,18,634.314,age2,1,0.708749781,0.708858675,0.000110319,0.000220639,2.334246371,40,10,25,77,9/6/2022,10:56 PM
22,WEM20220507,WEM1,1,19,19,672.373,age2,1,0.708832524,0.70894143,9.16E-05,0.000183117,2.049759576,40,10,25,77,9/6/2022,10:56 PM
23,WEM20220507,WEM1,1,20,20,718.587,age2,1,0.708601959,0.70871083,0.000228206,0.000456412,1.285837609,40,10,25,77,9/6/2022,10:56 PM
24,WEM20220507,WEM1,1,21,21,753.928,age2,1,0.708758734,0.70886763,0.000130708,0.000261416,1.261753308,40,10,25,77,9/6/2022,10:56 PM
25,WEM20220507,WEM1,1,22,22,799.236,age2,2,0.708753202,0.708862096,0.000151846,0.000303692,1.298725125,40,10,25,77,9/6/2022,10:56 PM
26,WEM20220507,WEM1,1,23,23,836.389,age2,2,0.708726918,0.708835809,0.000113063,0.000226126,1.440754203,40,10,25,77,9/6/2022,10:56 PM
27,WEM20220507,WEM1,1,24,24,877.619,age2,2,0.708667959,0.708776841,0.000119958,0.000239916,1.771697146,40,10,25,77,9/6/2022,10:56 PM
28,WEM20220507,WEM1,1,25,25,918.85,age2,2,0.708610024,0.708718896,8.78E-05,0.000175505,1.550608796,40,10,25,77,9/6/2022,10:56 PM
29,WEM20220507,WEM1,1,26,26,959.627,age2,2,0.708600884,0.708709755,0.000109669,0.000219337,1.398190144,40,10,25,77,9/6/2022,10:56 PM
30,WEM20220507,WEM1,1,27,27,1000.857,age2,2,0.708329786,0.708438615,0.000159478,0.000318956,1.749986691,40,10,25,77,9/6/2022,10:56 PM
31,WEM20220507,WEM1,1,28,28,1042.088,age3,3,0.708242554,0.70835137,1.63E-04,0.000325712,1.711922337,40,10,25,77,9/6/2022,10:56 PM
32,WEM20220507,WEM1,1,29,29,1083.771,age3,3,0.708370516,0.708479351,0.000122493,0.000244986,2.195256035,40,10,25,77,9/6/2022,10:56 PM
33,WEM20220507,WEM1,1,30,30,1128.173,age3,3,0.707930482,0.70803925,6.01E-05,0.000120119,2.016999048,40,10,25,77,9/6/2022,10:56 PM
34,WEM20220507,WEM1,1,31,31,1172.122,age3,3,0.707870198,0.707978956,9.88E-05,0.00019763,2.150298438,40,10,25,77,9/6/2022,10:56 PM
35,WEM20220507,WEM1,1,32,32,1211.54,age3,3,0.708114212,0.708223008,9.26E-05,0.000185152,1.687391382,40,10,25,77,9/6/2022,10:56 PM
36,WEM20220507,WEM1,1,33,33,1250.052,age3,3,0.707939479,0.708048248,8.41E-05,0.000168119,1.885663234,40,10,25,77,9/6/2022,10:56 PM
37,WEM20220507,WEM1,1,34,34,1303.516,age3,3,0.707686147,0.707794878,8.65E-05,0.000173051,1.755956681,40,10,25,77,9/6/2022,10:56 PM
38,WEM20220507,WEM1,1,35,35,1336.138,age3,3,0.708195487,0.708304296,0.000112222,0.000224444,1.903075374,40,10,25,77,9/6/2022,10:56 PM
39,WEM20220507,WEM1,1,36,36,1372.384,age3,3,0.707988577,0.708097353,7.90E-05,0.000157949,2.005949296,40,10,25,77,9/6/2022,10:56 PM
40,WEM20220507,WEM1,1,37,37,1408.631,age4,4,0.708032665,0.708141449,9.78E-05,0.000195659,1.708701733,40,10,25,77,9/6/2022,10:56 PM
41,WEM20220507,WEM1,1,38,38,1463.454,age4,4,0.70783386,0.707942613,7.60E-05,0.000152075,1.982524824,40,10,25,77,9/6/2022,10:56 PM
42,WEM20220507,WEM1,1,39,39,1498.794,age4,4,0.707930798,0.708039566,9.60E-05,0.000192024,2.384756648,40,10,25,77,9/6/2022,10:56 PM
43,WEM20220507,WEM1,1,40,40,1543.196,age4,4,0.708080666,0.708189457,9.88E-05,0.000197628,2.775933371,40,10,25,77,9/6/2022,10:56 PM
44,WEM20220507,WEM1,1,41,41,1579.442,age4,4,0.708132151,0.70824095,6.20E-05,0.000123961,2.4262515,40,10,25,77,9/6/2022,10:56 PM
45,WEM20220507,WEM1,1,42,42,1617.501,age4,4,0.707851939,0.707960695,9.10E-05,0.000182011,2.205040569,40,10,25,77,9/6/2022,10:56 PM
46,WEM20220507,WEM1,1,43,43,1651.936,age4,4,0.707899503,0.708008266,9.12E-05,0.000182315,2.239795611,40,10,25,77,9/6/2022,10:56 PM
47,WEM20220507,WEM1,1,44,44,1698.603,age4,4,0.707972214,0.708080989,0.000193464,0.000386927,2.252606691,40,10,25,77,9/6/2022,10:56 PM
