"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1403773","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","","","Upper Cumberland (HUC8) non-specific","36.782272473839","-83.8449100512637","Calculated by GIS","Centroid","Upper Cumberland","05130101","1986","","","established","from Stizostedion","Literature","","","Freshwater","82","Book","1986","Burr, B.M., and M.L. Warren, Jr.","A distributional atlas of Kentucky fishes. Scientific and Technical Series No. 4.","Kentucky State Nature Preserves Commission","Frankfort, KY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406523","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AL","Tallapoosa","Black Warrior R., Near Eutaw, River mile 55","32.84417","-85.83361","reported","Accurate","Middle Tallapoosa","03150109","1953","7","30","established","Data from GBIF data index - original values","Specimen","AUM Fish Collection","AUM 9323","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","28090","Database","2014","Auburn University Museum","AUM Fish Collection","Auburn University","Auburn, AL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406529","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AL","Walker","Carbon Hill Hatchery, spawned in Ohio","33.89167","-87.52611","reported","Accurate","Mulberry","03160109","1981","5","7","established","Data from GBIF data index - original values","Specimen","AUM Fish Collection","AUM 20997","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","28090","Database","2014","Auburn University Museum","AUM Fish Collection","Auburn University","Auburn, AL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403771","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","","Beaver Reservoir drainage","36.218","-93.7","Calculated by GIS","Centroid","Beaver Reservoir","11010001","1988","","","established","from Stizostedion","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27302","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Ashley","lower Saline drainage","33.296099","-91.924324","Map derived","Approximate","Lower Saline","08040204","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26612","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Benton","Beaver Reservoir","36.364351","-93.876114","Map derived","Accurate","Beaver Reservoir","11010001","1976","","","established","","Literature","","","Freshwater","30","Journal Article","1976","Pritchard, D.L., O.D. May, Jr., and L. Rider","Stocking of predators in the predator-stocking-evaluation reservoirs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27326","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Clark","Ouachita River","34.124808","-93.048148","Map derived","Accurate","Upper Ouachita","08040102","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27303","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Cleveland","Saline River","33.897492","-92.234001","Map derived","Accurate","Lower Saline","08040204","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27310","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Crawford","Lake Fort Smith","35.6434169","-94.133537","Map derived","Accurate","Frog-Mulberry","11110201","1950","","","unknown","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27309","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Crawford","Lee Creek","35.453119","-94.381313","Map derived","Accurate","Robert S. Kerr Reservoir","11110104","1950","","","unknown","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
